"ItemId","ItemName","Brand","Model","Detail","SaleLimit","IsActive","CatId","FxSalePrice","UKey","Unt","CStk","CCost","RetailPrice","ItmDisc","QtyBelow","MinPrice","QtyUpTo"
"POVANEWBACKB","Back","Tecno","POVA NEW BLACK","","2","false","1","300",,"Pc","0","0","400","0","10","0","50"
"POVANEWSIMTRY","SIM TRAY","TECNO","POVA NEW BLACK","","2","false","1","70",,"Pc","0","0","150","0","10","0","50"
"POVANEWVOLUME","Volume","Tecno","POVA NEO","","2","false","1","60",,"Pc","0","0","100","0","10","0","50"
"PoViV15PROUFC","Popup Camera Moter","Vivo","V15 PRO","","2","false","1","600",,"Pc","0","0","700","0","10","0","50"
"PP","Lcd Unit","Huawei","PP","","2","false","1","1750",,"Pc","0","0","1800","0","10","0","50"
"PPP","Lcd Unit","Huawei","P9LITE WHITE","","2","false","1","0",,"Pc","0","0","0","0","10","0","50"
"pRENO12FUINC","Incel","Oppo","Reno12fu Incell 360","","2","false","1","2150",,"Pc","0","0","2300","0","10","0","50"
"PRIME6JP","Lcd Unit","Huawei","PRIME6 JP","","2","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PRIMESMARTJ","Lcd Unit","Huawei","PRIME SMART JP","","2","false","1","0",,"Pc","0","0","0","0","10","0","50"
"PSMART","Lcd Kada","Huawei","PSMART","","2","false","1","400",,"Pc","0","0","450","0","10","0","50"
"PSMART19SIMBLU","SIM TRAY","Huawei","P SMART 19 BLUE","","2","false","1","70",,"Pc","0","0","150","0","10","0","50"
"PSMART2019SIMB","SIM TRAY","Huawei","P SMART 2019 BLACK","","2","false","1","70",,"Pc","0","0","150","0","10","0","50"
"PSMART2019USUN","Lcd Unit","Huawei","PSMART 2019 SUNLONG","","2","false","1","2150",,"Pc","0","0","2200","0","10","0","50"
"PSMARTBODYBLACK","Body","Huawei","PSMART BLACK","","2","false","1","1100",,"Pc","0","0","1200","0","10","0","50"
